,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
234,Gaëtan Belaud\Gaetan-Belaud,fr FRA,DF,Brest,fr Ligue 1,32,1986,6.4,286,365,78.4,5960,1789,3,8,37.5,199,227,87.7,84,130,64.6,0,0.3,-0.3,2,21,1,0,46,Matches
235,Ishak Belfodil\Ishak-Belfodil,dz ALG,FWMF,Hoffenheim,de Bundesliga,27,1992,3.0,49,65,75.4,695,156,2,7,28.6,41,48,85.4,6,10,60.0,0,0.2,-0.2,5,4,2,0,7,Matches
236,Haris Belkebla\Haris-Belkebla,dz ALG,MF,Brest,fr Ligue 1,25,1994,20.2,731,845,86.5,14104,3126,13,34,38.2,532,583,91.3,186,228,81.6,0,0.5,-0.5,8,55,6,1,50,Matches
237,Raoul Bellanova\Raoul-Bellanova,it ITA,DF,Bordeaux,fr Ligue 1,19,2000,0.7,23,29,79.3,393,87,0,1,0.0,19,23,82.6,4,5,80.0,0,0.0,0.0,0,0,0,0,3,Matches
238,Raoul Bellanova\Raoul-Bellanova,it ITA,DF,Atalanta,it Serie A,19,2000,0.2,12,13,92.3,183,15,0,0,,10,11,90.9,2,2,100.0,0,0.0,0.0,0,0,0,0,0,Matches
239,Karim Bellarabi\Karim-Bellarabi,de GER,FWDF,Leverkusen,de Bundesliga,29,1990,15.8,487,707,68.9,8072,2612,7,45,15.6,402,506,79.4,78,156,50.0,6,4.2,+1.8,24,26,29,11,88,Matches
240,Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,fr FRA,MF,Strasbourg,fr Ligue 1,21,1998,16.6,604,700,86.3,12345,2165,9,21,42.9,420,469,89.6,175,210,83.3,0,1.3,-1.3,20,51,11,2,52,Matches
241,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,eng Premier League,24,1995,12.9,558,686,81.3,9186,2754,10,38,26.3,479,545,87.9,69,103,67.0,0,0.3,-0.3,2,32,8,2,49,Matches
242,Andrea Belotti\Andrea-Belotti,it ITA,FW,Torino,it Serie A,25,1993,33.4,502,750,66.9,7545,1723,21,87,24.1,416,553,75.2,65,110,59.1,3,4.1,-1.1,37,46,22,5,63,Matches
243,Fran Beltrán\Fran-Beltran,es ESP,MF,Celta Vigo,es La Liga,20,1999,20.3,781,881,88.6,14451,2775,12,26,46.2,601,655,91.8,168,200,84.0,0,0.6,-0.6,12,62,3,0,43,Matches
244,Sami Ben Amar\Sami-Ben-Amar,ma MAR,FW,Nîmes,fr Ligue 1,21,1998,0.2,6,8,75.0,125,75,0,1,0.0,5,6,83.3,1,1,100.0,0,0.0,0.0,0,3,0,0,2,Matches
245,Hatem Ben Arfa\Hatem-Ben-Arfa,fr FRA,MFFW,Valladolid,es La Liga,32,1987,1.8,42,55,76.4,797,93,2,4,50.0,32,38,84.2,8,13,61.5,0,0.0,0.0,1,2,1,0,2,Matches
246,Wissam Ben Yedder\Wissam-Ben-Yedder,fr FRA,FW,Monaco,fr Ligue 1,28,1990,24.0,613,812,75.5,8993,2573,21,60,35.0,527,636,82.9,65,116,56.0,4,7.0,-3.0,45,52,36,4,87,Matches
247,Marco Benassi\Marco-Benassi,it ITA,MF,Fiorentina,it Serie A,24,1994,10.9,262,342,76.6,4465,1465,4,16,25.0,219,264,83.0,39,62,62.9,1,1.2,-0.2,18,23,10,6,43,Matches
248,Cristian Benavente\Cristian-Benavente,pe PER,MFFW,Nantes,fr Ligue 1,25,1994,3.9,124,156,79.5,1960,380,2,5,40.0,105,125,84.0,17,26,65.4,1,0.6,+0.4,7,13,1,1,14,Matches
249,Lars Bender\Lars-Bender,de GER,DFMF,Leverkusen,de Bundesliga,30,1989,15.3,915,1074,85.2,15899,5753,22,48,45.8,738,824,89.6,155,202,76.7,1,1.0,0.0,17,53,12,2,130,Matches
250,Sven Bender\Sven-Bender,de GER,DF,Leverkusen,de Bundesliga,30,1989,30.3,2318,2499,92.8,49836,12098,19,26,73.1,1576,1668,94.5,723,805,89.8,1,0.1,+0.9,3,72,4,0,89,Matches
251,Darío Benedetto\Dario-Benedetto,ar ARG,FW,Marseille,fr Ligue 1,33,1986,23.3,342,503,68.0,6435,846,19,47,40.4,251,355,70.7,72,101,71.3,0,1.0,-1.0,17,27,11,1,31,Matches
252,László Bénes\Laszlo-Benes,sk SVK,MF,M'gladbach,de Bundesliga,21,1997,10.0,399,522,76.4,8174,2714,5,17,29.4,278,329,84.5,116,176,65.9,4,2.7,+1.3,25,58,11,3,82,Matches
253,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,fr Ligue 1,26,1993,26.0,654,785,83.3,15652,8982,2,2,100.0,428,433,98.8,224,350,64.0,0,0.0,0.0,0,1,0,0,1,Matches
254,Loris Benito\Loris-Benito,ch SUI,DF,Bordeaux,fr Ligue 1,27,1992,21.1,1104,1315,84.0,19603,7262,12,45,26.7,903,1000,90.3,189,270,70.0,0,1.0,-1.0,15,70,15,6,152,Matches
255,Bilal Benkhedim\Bilal-Benkhedim,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2001,1.5,46,64,71.9,747,113,2,5,40.0,36,44,81.8,8,15,53.3,0,0.3,-0.3,4,1,2,1,2,Matches
256,Ismaël Bennacer\Ismael-Bennacer,dz ALG,MF,Milan,it Serie A,21,1997,27.6,1585,1808,87.7,29381,8853,29,51,56.9,1232,1336,92.2,324,421,77.0,0,1.4,-1.4,28,168,29,2,185,Matches
257,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,eng Premier League,29,1990,6.7,185,239,77.4,4158,1593,3,4,75.0,115,136,84.6,67,99,67.7,0,0.1,-0.1,2,23,1,0,19,Matches
258,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,eng Premier League,29,1990,3.7,174,221,78.7,3565,1504,4,7,57.1,124,139,89.2,46,75,61.3,0,0.0,0.0,0,24,1,1,12,Matches
259,Keanen Bennetts\Keanen-Bennetts,eng ENG,MF,M'gladbach,de Bundesliga,20,1999,0.0,1,1,100.0,18,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
260,Yassine Benrahou\Yassine-Benrahou,fr FRA,FWMF,Bordeaux,fr Ligue 1,20,1999,1.9,83,106,78.3,1320,389,1,3,33.3,70,84,83.3,12,19,63.2,2,0.2,+1.8,5,6,4,0,11,Matches
261,Yassine Benrahou\Yassine-Benrahou,fr FRA,MFFW,Nîmes,fr Ligue 1,20,1999,8.5,208,315,66.0,3733,1134,7,18,38.9,153,182,84.1,48,115,41.7,3,2.9,+0.1,18,19,7,2,33,Matches
262,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,M'gladbach,de Bundesliga,24,1995,16.1,732,925,79.1,12832,4961,9,42,21.4,603,701,86.0,120,182,65.9,3,2.5,+0.5,13,41,9,4,94,Matches
263,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,eng Premier League,24,1994,8.3,347,404,85.9,6806,1178,10,18,55.6,262,292,89.7,75,94,79.8,0,0.2,-0.2,8,22,2,1,15,Matches
264,Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MF,Juventus,it Serie A,22,1997,24.4,1434,1640,87.4,25829,6571,31,73,42.5,1128,1224,92.2,275,343,80.2,7,3.7,+3.3,45,148,18,4,126,Matches
265,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,eng Premier League,28,1990,14.0,190,326,58.3,2802,720,11,25,44.0,157,261,60.2,22,40,55.0,1,2.1,-1.1,17,14,11,2,34,Matches
266,Romario Benzar\Romario-Benzar,ro ROU,DF,Lecce,it Serie A,27,1992,1.1,50,69,72.5,806,477,1,2,50.0,41,48,85.4,8,19,42.1,0,0.1,-0.1,2,3,4,3,10,Matches
267,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,es La Liga,31,1987,34.9,1119,1329,84.2,16894,3022,47,93,50.5,930,1057,88.0,142,179,79.3,8,8.4,-0.4,61,71,58,1,111,Matches
268,Yassine Benzia\Yassine-Benzia,dz ALG,MF,Dijon,fr Ligue 1,24,1994,1.9,60,81,74.1,988,233,0,2,0.0,47,57,82.5,13,22,59.1,0,0.4,-0.4,4,7,1,0,4,Matches
269,Domenico Berardi\Domenico-Berardi,it ITA,FW,Sassuolo,it Serie A,24,1994,27.7,879,1192,73.7,15862,4528,13,51,25.5,685,830,82.5,181,311,58.2,10,7.1,+2.9,53,50,53,7,147,Matches
